year,event,player,team,region,role,rating,agents,rounds
2021,Champions,JohnOlsen,FS,Pacific,Flex,0.82,"jett,skye",82
2021,Champions,neth,CR,Pacific,Flex,0.81,"sage,breach",76
2021,Champions,Fisker,CR,Pacific,Duelist,0.80,jett,76
2021,Champions,frz,VKS,Americas,Flex,0.80,"reyna,skye,sage",145
2021,Champions,SantaGolf,FS,Pacific,Sentinel,0.79,cypher,82
2021,Champions,Medusa,CR,Pacific,Sentinel,0.79,killjoy,36
2021,Champions,Victor,ENVY,Americas,Initiator,0.79,"kayo,skye,reyna",156
2021,Champions,v1xen,VKS,Americas,Controller,0.67,"viper,astra",98
2021,Champions,JhoW,VKS,Americas,Sentinel,0.63,"sage,viper,cypher",98
2021,Champions,ade,CR,Pacific,Controller,0.57,"viper,astra",76
2022,Masters 1,MaKo,KRX,Pacific,Controller,1.29,"viper,omen,astra",271
2022,Masters 1,ScreaM,TL,EMEA,Flex,1.20,"jett,kayo,sage",243
2022,Masters 1,yay,OPTC,Americas,Flex,1.19,"chamber,jett",468
2022,Masters 1,aspas,LOUD,Americas,Duelist,1.18,"jett,raze",240
2022,Masters 1,Sayaplayer,TGRD,Americas,Duelist,1.17,"jett,raze",108
2022,Masters 1,Marved,OPTC,Americas,Controller,1.16,"viper,brimstone,omen",468
2022,Masters 1,hoody,G2,Americas,Initiator,1.15,"sage,skye,sova",128
2022,Masters 1,SugarZ3ro,ZETA,Pacific,Controller,1.15,"viper,astra",431
2022,Masters 1,sScary,XIA,China,Controller,1.14,"viper,omen,astra",163
2022,Masters 1,xand,NIP,Americas,Duelist,1.13,"kayo,raze,jett",147
2022,Masters 1,Sacy,LOUD,Americas,Initiator,1.12,"sova,breach",240
2022,Masters 1,f0rsakeN,PRX,Pacific,Duelist,1.12,"jett,yoru",209
2022,Masters 1,stax,KRX,Pacific,Initiator,1.10,"kayo,breach,skye",271
2022,Masters 1,Jamppi,TL,EMEA,Initiator,1.10,"breach,jett,sova",243
2022,Masters 1,Enzo,FNC,EMEA,Flex,1.08,"sova,sage,viper",85
2022,Masters 1,Zest,KRX,Pacific,Flex,1.08,"sova,sage",271
2022,Masters 1,Benkai,PRX,Pacific,Initiator,1.06,"cypher,breach,sova",209
